月日,路線,方面,時間帯,中洲川端～呉服町,呉服町～千代県庁口,千代県庁口～馬出九大病院前,馬出九大病院前～箱崎宮前,箱崎宮前～箱崎九大前,箱崎九大前～貝塚,
0615,箱崎線,北行,16:00～16:15,0,0,0,0,0,0,
0615,箱崎線,北行,16:15～16:30,0,0,0,0,0,0,
0615,箱崎線,北行,16:30～16:45,0,0,0,0,0,0,
0615,箱崎線,北行,16:45～17:00,0,0,0,0,0,0,
0615,箱崎線,北行,17:00～17:15,0,0,0,0,0,0,
0615,箱崎線,北行,17:15～17:30,0,0,0,0,0,0,
0615,箱崎線,北行,17:30～17:45,0,0,0,0,0,0,
0615,箱崎線,北行,17:45～18:00,0,0,0,0,0,0,
0615,箱崎線,北行,18:00～18:15,0,0,0,0,0,0,
0615,箱崎線,北行,18:15～18:30,0,0,0,0,0,0,
0615,箱崎線,北行,18:30～18:45,0,0,0,0,0,0,
0615,箱崎線,北行,18:45～19:00,0,0,0,0,0,0,
