橋本～次郎丸
次郎丸～賀茂
賀茂～野芥
野芥～梅林
梅林～福大前
福大前～七隈
七隈～金山
金山～茶山
茶山～別府
別府～六本松
六本松～桜坂
桜坂～薬院大通
薬院大通～薬院
薬院～渡辺通
渡辺通～天神南
