天神南～渡辺通
渡辺通～薬院
薬院～薬院大通
薬院大通～桜坂
桜坂～六本松
六本松～別府
別府～茶山
茶山～金山
金山～七隈
七隈～福大前
福大前～梅林
梅林～野芥
野芥～賀茂
賀茂～次郎丸
次郎丸～橋本
